問題,答え,読み,最終確認日
春の七草の中で、別名を「ハハコグサ」という植物は何でしょう？,ゴギョウ,ゴギョウ,2020/07/01
随想集『モラリア』や伝記集『対比列伝（英雄伝）』などの著作を残したことで知られる、カイロネイア生まれのローマの著述家は誰でしょう？,プルタルコス,プルタルコス,2020/07/01
創業して間もないベンチャー企業などに資金を提供する大口の個人投資家のことを、英語で何投資家というでしょう？,エンジェル投資家,エンジェル,2020/07/01
相撲の番付表の中央最上部に大きく書かれている、公的に認められた興行相撲であることを表す言葉を漢字3文字で何というでしょう？,蒙御免,ごめんこうむる,2020/07/01
太宰治の小説『富嶽百景』で「富士にはよく似合う」と書かれている、アカバナ科の植物は何でしょう？,月見草,つきみそう,2020/07/01
対数の表記で、底の右隣に大きく書かれる数字は何を表すでしょう？,真数,しんすう,2020/07/01
代表作に『息子と恋人』『虹』『恋する女たち』『チャタレー夫人の恋人』などがあるイギリスの小説家は誰でしょう？,デーヴィッド・ハーバート・ローレンス,ローレンス,2020/07/01
代表作に空想科学小説の先駆である『月世界旅行記』『太陽世界旅行記』などがある、エドモン・ロスタンの戯曲の題材となったことでも知られる17世紀フランスの作家は誰でしょう？,シラノ・ド・ベルジュラック,シラノドベルジュラック,2020/07/01
第1回は並里成が選ばれた、若いバスケットボール選手を支援するために漫画家の井上雄彦が創設した奨学金制度は「何奨学金」でしょう？,スラムダンク奨学金,スラムダンク,2020/07/01
第2回谷崎潤一郎賞の受賞作で、1971年には篠田正浩、2016年にはマーティン・スコセッシ監督により映画化された、遠藤周作の歴史小説は何でしょう？,『沈黙』,ちんもく,2020/07/01
短編集『孤独な旅人』や小説『路上』などの作品で知られる、ビートジェネレーションを代表するアメリカの作家は誰でしょう？,ジャック・ケルアック,ケルアック,2020/07/01
男性が後ろから女性を抱きしめるポーズのことを、柴門ふみの漫画を原作とするドラマで話題となったことから「何抱き」というでしょう？,あすなろ抱き,あすなろ,2020/07/01
中華料理の食材として使われる、エンドウの若い葉と茎を摘んだものを漢字2文字で何というでしょう？,豆苗,とうみょう,2020/07/01
中国の書物『孟子』に由来する故事成語で、「天の時は地の利に如かず」に続く言葉は「地の利は何に如かず」でしょう？,地の利は人の和に如かず,ひとのわ,2020/07/01
著書『知恵の砥石』において、等号を表す「＝」の記号を世界で初めて用いたとされる、16世紀のイギリスの数学者は誰でしょう？,ロバート・レコード,レコード,2020/07/01
長崎県佐世保市に本社を置き、自社スタジオを設けて番組を配信している、テレビショッピングの大手企業はどこでしょう？,ジャパネットたかた,ジャパネットたかた,2020/07/01
島根県の「雲州」や兵庫県の「播州」などの産地があり、税務署の地図記号のモデルにもなっている道具は何でしょう？,そろばん,そろばん,2020/07/01
東大寺の大仏が完成した時の天皇で、のちに重祚して称徳天皇とも呼ばれた、奈良時代の女性天皇は何天皇でしょう？,こうけん,孝謙天皇,2020/07/01
日本の市で、その名称が漢字の「海」ではじまる3つの市とは、岐阜県の海津市、和歌山県の海南市と、神奈川県のどこでしょう？,海老名市,えびな,2020/07/01
日本語での正式名称を「万国郵便連合」という国際郵便制度をつかさどる機関を、アルファベット3文字の略称で何というでしょう？,UPU,UPU,2020/07/01
日本語では「単軌鉄道」と呼ばれることもあり、懸垂式と跨座式に大きく分けられる、1本のレールで列車を走らせる鉄道を何というでしょう？,モノレール,モノレール,2020/07/01
日本全土に生息するシオカラトンボの雌のことを、黄色い体に黒い斑点があることから「何トンボ」というでしょう？,ムギワラトンボ,ムギワラ,2020/07/01
箱根駅伝の4つの中継所といえば、「鶴見」「戸塚」「平塚」と何でしょう？,小田原,おだわら,2020/07/01
犯罪捜査のために作成される、目撃者の証言をもとに合成された被疑者の写真のことを、「編集」という想味のフランス語で「何写真」というでしょう？,モンタージュ写真,モンタージュ,2020/07/01
病気や高齢となった抑留者を引き受けていたことから「休養収容所」とも呼ばれていた、『アンネの日記』を書いたアンネ・フランクが亡くなった場所として知られるナチス・ドイツの強制収容所は何でしょう？,ベルゲン・ベルゼン強制収容所,ベルゲンベルゼン,2020/07/01
別名を「ハマオモト」ともいい、その分布の北限が年平均気温15℃の等温線とほぼ一致することでも知られる、宮崎県の県の花に指定されているヒガンバナ科の花は何でしょう？,浜木綿,ハマユウ,2020/07/01
本名を武内邦貞という、『本命』や『大穴』などディック・フランシスの多くの作品を日本語訳したことで知られる翻訳家は誰でしょう？,菊池光,きくちみつ,2020/07/01
連歌の規則を制定した『応安新式』や、救済の協力を得て著した連歌集『菟玖波集』などを残した、南北朝時代の歌人は誰でしょう？,二条良基,にじょうよしもと,2020/07/01
和名では「キバナスズシロ」、英語では「ロケット」と呼ばれる野菜のことを、イタリア語では何というでしょう？,ルッコラ,ルッコラ,2020/07/01
